sample,mean_abs,p95_abs,max_abs,l2
171,4.4902315736e-01,2.8313012123e+00,2.9964576721e+01,1.5648113489e+00
172,4.4437554479e-01,2.5453011990e+00,4.1055522919e+01,1.5917320251e+00
173,4.7763878107e-01,3.0684676170e+00,3.0503051758e+01,1.6584858894e+00
174,6.1419618130e-01,3.4597482681e+00,6.2783290863e+01,2.2629680634e+00
175,7.5415331125e-01,4.2935709953e+00,5.0966274261e+01,2.4666261673e+00
176,5.7539308071e-01,3.5227847099e+00,2.8324275970e+01,1.6296687126e+00
177,4.9614319205e-01,2.8987648487e+00,3.7323089600e+01,1.6668651104e+00
178,2.8799349070e-01,1.6955841780e+00,2.2021745682e+01,1.0209640265e+00
179,3.4011787176e-01,2.0688021183e+00,1.7460103989e+01,1.1570183039e+00
180,2.9440373182e-01,1.2855970860e+00,3.4246860504e+01,1.3435285091e+00
181,3.5043755174e-01,1.7659955025e+00,4.2200836182e+01,1.3590980768e+00
182,5.4260528088e-01,3.4805970192e+00,2.8172273636e+01,1.6819169521e+00
183,5.0433874130e-01,2.9729034901e+00,5.2876983643e+01,1.8396151066e+00
184,2.0793405175e-01,7.8092622757e-01,2.6878599167e+01,9.5007830858e-01
185,3.6070087552e-01,1.9652392864e+00,2.7603933334e+01,1.4010990858e+00
186,1.7044946551e-01,5.5866450071e-01,1.7669689178e+01,7.5883358717e-01
187,4.3575751781e-01,2.4680111408e+00,6.2297706604e+01,1.7970372438e+00
188,1.8714568019e-01,5.5672258139e-01,2.9832662582e+01,9.1683781147e-01
189,2.6712104678e-01,1.2207731009e+00,3.1865982056e+01,1.1500381231e+00
190,6.3941496611e-01,3.9604737759e+00,4.3781219482e+01,2.0578193665e+00
191,3.0395296216e-01,1.4661079645e+00,2.9712549210e+01,1.2409791946e+00
192,2.3940029740e-01,1.0054603815e+00,2.6920793533e+01,1.0135406256e+00
193,2.9750719666e-01,1.5521001816e+00,3.4559764862e+01,1.2604680061e+00
194,2.5439906120e-01,1.0266476870e+00,6.0339607239e+01,1.2897367477e+00
195,4.0631806850e-01,2.5943503380e+00,3.1020149231e+01,1.4935705662e+00
196,2.5317820907e-01,1.2051674128e+00,2.0981567383e+01,1.0436311960e+00
197,2.9069960117e-01,1.5592530966e+00,3.0155189514e+01,1.1391142607e+00
198,4.4224628806e-01,2.6275804043e+00,3.0182392120e+01,1.4018179178e+00
199,6.1674684286e-01,3.6729011536e+00,4.1795753479e+01,1.9842561483e+00
